Country,Area,Continent,Parameter,Age,Sex,Variable,SIGICategories,Categories,Value,Average,Latitude,Longitude
Haiti,Caribbean,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,93.1,45.1,28.5944,-68.3071
Haiti,Caribbean,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,45.1,28.5944,-68.3071
Honduras,Central America,America,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,26.4,26.1,33.9676,-64.9506
Honduras,Central America,America,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,49.9,26.1,33.9676,-64.9506
Honduras,Central America,America,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,35.3,26.1,33.9676,-64.9506
Honduras,Central America,America,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,37.7,26.1,33.9676,-64.9506
Honduras,Central America,America,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,11.7,26.1,33.9676,-64.9506
Honduras,Central America,America,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,93.8,26.1,33.9676,-64.9506
Honduras,Central America,America,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,26.1,33.9676,-64.9506
Honduras,Central America,America,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,26.1,33.9676,-64.9506
Honduras,Central America,America,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,26.1,33.9676,-64.9506
Honduras,Central America,America,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,26.1,33.9676,-64.9506
Honduras,Central America,America,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,26.1,33.9676,-64.9506
Honduras,Central America,America,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,26.1,33.9676,-64.9506
Honduras,Central America,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,83.9,26.1,33.9676,-64.9506
Honduras,Central America,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,26.1,33.9676,-64.9506
Hong_Kong,Eastern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,98.2,59.2,20.0152,67.3661
Hong_Kong,Eastern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,83.4,59.2,20.0152,67.3661
Hong_Kong,Eastern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,59.2,20.0152,67.3661
Hong_Kong,Eastern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,48.4,59.2,20.0152,67.3661
Hong_Kong,Eastern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,59.2,20.0152,67.3661
Hong_Kong,Eastern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,64.5,59.2,20.0152,67.3661
Hong_Kong,Eastern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,72.9,59.2,20.0152,67.3661
Hong_Kong,Eastern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,59.2,20.0152,67.3661
Hong_Kong,Eastern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,71.9,59.2,20.0152,67.3661
Hong_Kong,Eastern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,68.5,59.2,20.0152,67.3661
Hong_Kong,Eastern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,71.2,59.2,20.0152,67.3661
Hong_Kong,Eastern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,70.6,59.2,20.0152,67.3661
Hong_Kong,Eastern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,99.5,59.2,20.0152,67.3661
Hong_Kong,Eastern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,59.2,20.0152,67.3661
Hungary,Eastern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,86.9,57.3,49.4979,20.0402
Hungary,Eastern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,61.2,57.3,49.4979,20.0402
Hungary,Eastern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,57.3,49.4979,20.0402
Hungary,Eastern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,55.2,57.3,49.4979,20.0402
Hungary,Eastern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,57.3,49.4979,20.0402
Hungary,Eastern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,88.5,57.3,49.4979,20.0402
Hungary,Eastern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,44.7,57.3,49.4979,20.0402
Hungary,Eastern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,57.3,49.4979,20.0402
Hungary,Eastern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,67.1,57.3,49.4979,20.0402
Hungary,Eastern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,77.2,57.3,49.4979,20.0402
Hungary,Eastern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,52.3,57.3,49.4979,20.0402
Hungary,Eastern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,71.3,57.3,49.4979,20.0402
Hungary,Eastern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,99.2,57.3,49.4979,20.0402
Hungary,Eastern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,57.3,49.4979,20.0402
Iceland,Northern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,100,65.9,57.1355,-33.8954
Iceland,Northern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,78.3,65.9,57.1355,-33.8954
Iceland,Northern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,65.9,57.1355,-33.8954
Iceland,Northern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,55.8,65.9,57.1355,-33.8954
Iceland,Northern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,65.9,57.1355,-33.8954
Iceland,Northern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,none,65.9,57.1355,-33.8954
Iceland,Northern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,65.9,57.1355,-33.8954
Iceland,Northern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,65.9,57.1355,-33.8954
Iceland,Northern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,94.7,65.9,57.1355,-33.8954
Iceland,Northern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,98.6,65.9,57.1355,-33.8954
Iceland,Northern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,76.6,65.9,57.1355,-33.8954
Iceland,Northern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,96.5,65.9,57.1355,-33.8954
Iceland,Northern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,99.9,65.9,57.1355,-33.8954
Iceland,Northern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,65.9,57.1355,-33.8954
India,Southern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,77.5,49.5,15.6139,43.209
India,Southern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,58.5,49.5,15.6139,43.209
India,Southern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,46.5,49.5,15.6139,43.209
India,Southern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,83,49.5,15.6139,43.209
India,Southern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,33.8,49.5,15.6139,43.209
India,Southern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,59,49.5,15.6139,43.209
India,Southern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,61.6,49.5,15.6139,43.209
India,Southern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,49.5,15.6139,43.209
India,Southern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,41.3,49.5,15.6139,43.209
India,Southern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,43.1,49.5,15.6139,43.209
India,Southern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,18.6,49.5,15.6139,43.209
India,Southern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,40.7,49.5,15.6139,43.209
India,Southern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,83.8,49.5,15.6139,43.209
India,Southern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,49.5,15.6139,43.209
Indonesia,South-eastern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,51.7,54.6,-3.0152,64.3661
Indonesia,South-eastern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,72.9,54.6,-3.0152,64.3661
Indonesia,South-eastern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,49.6,54.6,-3.0152,64.3661
Indonesia,South-eastern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,74.8,54.6,-3.0152,64.3661
Indonesia,South-eastern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,41.4,54.6,-3.0152,64.3661
Indonesia,South-eastern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,79.8,54.6,-3.0152,64.3661
Indonesia,South-eastern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,62.4,54.6,-3.0152,64.3661
Indonesia,South-eastern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,54.6,-3.0152,64.3661
Indonesia,South-eastern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,27.8,54.6,-3.0152,64.3661
Indonesia,South-eastern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,24.2,54.6,-3.0152,64.3661
Indonesia,South-eastern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,88.9,54.6,-3.0152,64.3661
Indonesia,South-eastern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,37.3,54.6,-3.0152,64.3661
Indonesia,South-eastern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,90.7,54.6,-3.0152,64.3661
Indonesia,South-eastern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,54.6,-3.0152,64.3661
Iran,Southern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,84.3,47.7,29.3152,33.3661
Iran,Southern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,71.8,47.7,29.3152,33.3661
Iran,Southern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,47.7,29.3152,33.3661
Iran,Southern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,66.4,47.7,29.3152,33.3661
Iran,Southern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,47.7,29.3152,33.3661
Iran,Southern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,90.2,47.7,29.3152,33.3661
Iran,Southern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,49.7,47.7,29.3152,33.3661
Iran,Southern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,47.7,29.3152,33.3661
Iran,Southern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,44.7,47.7,29.3152,33.3661
Iran,Southern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,30.2,47.7,29.3152,33.3661
Iran,Southern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,44.6,47.7,29.3152,33.3661
Iran,Southern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,50.1,47.7,29.3152,33.3661
Iran,Southern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,78.5,47.7,29.3152,33.3661
Iran,Southern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,47.7,29.3152,33.3661
Iraq,Western Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,13.6,45.5,28.3152,28.3661
Iraq,Western Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,62.1,45.5,28.3152,28.3661
Iraq,Western Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,45.5,28.3152,28.3661
Iraq,Western Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,55.1,45.5,28.3152,28.3661
Iraq,Western Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,45.5,28.3152,28.3661
Iraq,Western Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,69,45.5,28.3152,28.3661
Iraq,Western Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,51.3,45.5,28.3152,28.3661
Iraq,Western Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,93.6,45.5,28.3152,28.3661
Iraq,Western Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,28.5,45.5,28.3152,28.3661
Iraq,Western Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,21.5,45.5,28.3152,28.3661
Iraq,Western Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,36,45.5,28.3152,28.3661
Iraq,Western Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,35.1,45.5,28.3152,28.3661
Iraq,Western Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,81.6,45.5,28.3152,28.3661
Iraq,Western Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,92.6,45.5,28.3152,28.3661
Ireland,Northern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,99.5,35.5,51.3498,-27.2603
Ireland,Northern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,64.9,35.5,51.3498,-27.2603
Ireland,Northern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,35.5,51.3498,-27.2603
Ireland,Northern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,68.4,35.5,51.3498,-27.2603
Ireland,Northern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,35.5,51.3498,-27.2603
Ireland,Northern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,98.6,35.5,51.3498,-27.2603
Ireland,Northern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,35.5,51.3498,-27.2603
Ireland,Northern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,35.5,51.3498,-27.2603
Ireland,Northern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,35.5,51.3498,-27.2603
Ireland,Northern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,35.5,51.3498,-27.2603
Ireland,Northern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,35.5,51.3498,-27.2603
Ireland,Northern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,35.5,51.3498,-27.2603
Ireland,Northern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,99.7,35.5,51.3498,-27.2603
Ireland,Northern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,35.5,51.3498,-27.2603
Israel,Western Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,91.9,42.9,20.7683,19.2137
Israel,Western Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,71.1,42.9,20.7683,19.2137
Israel,Western Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,42.9,20.7683,19.2137
Israel,Western Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,64.7,42.9,20.7683,19.2137
Israel,Western Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,42.9,20.7683,19.2137
Israel,Western Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,85.1,42.9,20.7683,19.2137
Israel,Western Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,42.9,20.7683,19.2137
Israel,Western Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,42.9,20.7683,19.2137
Israel,Western Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,42.9,20.7683,19.2137
Israel,Western Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,42.9,20.7683,19.2137
Israel,Western Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,42.9,20.7683,19.2137
Israel,Western Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,42.9,20.7683,19.2137
Israel,Western Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,97.8,42.9,20.7683,19.2137
Israel,Western Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,42.9,20.7683,19.2137
Italy,Southern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,97.1,53.7,35.9028,-3.7964
Italy,Southern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,65.6,53.7,35.9028,-3.7964
Italy,Southern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,53.7,35.9028,-3.7964
Italy,Southern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,35.8,53.7,35.9028,-3.7964
Italy,Southern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,53.7,35.9028,-3.7964
Italy,Southern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,93.9,53.7,35.9028,-3.7964
Italy,Southern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,53.7,35.9028,-3.7964
Italy,Southern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,53.7,35.9028,-3.7964
Italy,Southern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,79.9,53.7,35.9028,-3.7964
Italy,Southern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,74.3,53.7,35.9028,-3.7964
Italy,Southern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,45.9,53.7,35.9028,-3.7964
Italy,Southern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,83.6,53.7,35.9028,-3.7964
Italy,Southern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,99.8,53.7,35.9028,-3.7964
Italy,Southern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,53.7,35.9028,-3.7964
Jamaica,Caribbean,America,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,71.6,29.2,21.997,-70.7936
Jamaica,Caribbean,America,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,63.8,29.2,21.997,-70.7936
Jamaica,Caribbean,America,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,29.2,21.997,-70.7936
Jamaica,Caribbean,America,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,45.9,29.2,21.997,-70.7936
Jamaica,Caribbean,America,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,29.2,21.997,-70.7936
Jamaica,Caribbean,America,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,83,29.2,21.997,-70.7936
Jamaica,Caribbean,America,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,29.2,21.997,-70.7936
Jamaica,Caribbean,America,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,29.2,21.997,-70.7936
Jamaica,Caribbean,America,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,29.2,21.997,-70.7936
Jamaica,Caribbean,America,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,29.2,21.997,-70.7936
Jamaica,Caribbean,America,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,29.2,21.997,-70.7936
Jamaica,Caribbean,America,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,29.2,21.997,-70.7936
Jamaica,Caribbean,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,96.6,29.2,21.997,-70.7936
Jamaica,Caribbean,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,29.2,21.997,-70.7936
Japan,Eastern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,98.8,57.3,29.0152,78.3661
Japan,Eastern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,67.8,57.3,29.0152,78.3661
Japan,Eastern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,57.3,29.0152,78.3661
Japan,Eastern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,72.4,57.3,29.0152,78.3661
Japan,Eastern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,57.3,29.0152,78.3661
Japan,Eastern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,92.2,57.3,29.0152,78.3661
Japan,Eastern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,85.6,57.3,29.0152,78.3661
Japan,Eastern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,57.3,29.0152,78.3661
Japan,Eastern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,70.7,57.3,29.0152,78.3661
Japan,Eastern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,74.1,57.3,29.0152,78.3661
Japan,Eastern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,83.6,57.3,29.0152,78.3661
