Country,Area,Continent,Parameter,Age,Sex,Variable,SIGICategories,Categories,Value,Average,Latitude,Longitude
Argentina,South America,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,92.3,59.36,-20.6037,-57.3816
Argentina,South America,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,59.36,-20.6037,-57.3816
Armenia,Western Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,81.6,54.33,38.2,28.4991
Armenia,Western Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,48.5,54.33,38.2,28.4991
Armenia,Western Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,38.1,54.33,38.2,28.4991
Armenia,Western Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,15.7,54.33,38.2,28.4991
Armenia,Western Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,96.3,54.33,38.2,28.4991
Armenia,Western Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,54.3,54.33,38.2,28.4991
Armenia,Western Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,54.33,38.2,28.4991
Armenia,Western Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,47.9,54.33,38.2,28.4991
Armenia,Western Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,45.1,54.33,38.2,28.4991
Armenia,Western Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,59.1,54.33,38.2,28.4991
Armenia,Western Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,52.7,54.33,38.2,28.4991
Armenia,Western Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,95.2,54.33,38.2,28.4991
Armenia,Western Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,54.33,38.2,28.4991
Armenia,Western Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,49.1,59.36,38.2,28.4991
Australia,Oceania,Oceania,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,100,54.33,-13.0152,74.3661
Australia,Oceania,Oceania,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,48,65.21,-13.0152,74.3661
Australia,Oceania,Oceania,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,65.21,-13.0152,74.3661
Australia,Oceania,Oceania,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,51.5,65.21,-13.0152,74.3661
Australia,Oceania,Oceania,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,65.21,-13.0152,74.3661
Australia,Oceania,Oceania,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,93.2,65.21,-13.0152,74.3661
Australia,Oceania,Oceania,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,93.5,65.21,-13.0152,74.3661
Australia,Oceania,Oceania,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,65.21,-13.0152,74.3661
Australia,Oceania,Oceania,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,77.4,65.21,-13.0152,74.3661
Australia,Oceania,Oceania,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,93.2,65.21,-13.0152,74.3661
Australia,Oceania,Oceania,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,74.2,65.21,-13.0152,74.3661
